"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"SW84A",-0.130769230769229,0.266940810760935,1,2,2.125,2.15384615384615,2.2,2.18965517241379,2.20512820512821,2.17204301075269,1.98507462686567,1,7,22,36,45,52,68,81,103,121,4817.69963484711,8236.57645410782,56.7842,143.493,0.877651081,"3","1",4,14
"SW85",-0.317003628823224,0.155233086998222,3,2.25,2.40740740740741,2.30769230769231,2.15254237288136,2.25352112676056,2.10989010989011,1.99130434782609,1.99333333333333,3,11,23,34,54,61,80,103,120,136,4634.66477972595,26837.9458605359,126.72,141.631,0.826685018,"2","1",8,55
"SW86",-0.23650168728909,0.148543572009367,2,2.15384615384615,2.23333333333333,2.18604651162791,2.14285714285714,2.30434782608696,2.24096385542169,2.17021276595745,2.01492537313433,3,12,27,39,45,59,71,82,98,120,1499.79378826916,15597.5497630086,66.1846,142.974,0.7881096,"3","1",13,53
"SW87",-0.196933330226273,0.115189166850069,NA,3,2.32,2.34042553191489,2.27868852459016,2.14814814814815,2.09375,2.08181818181818,2.02836879432624,0,9,21,41,53,71,85,97,109,126,4024.17027972173,15366.1696208737,132.209,140.058,0.676505881,"3","1",14,45
"SW88",-0.41145595618439,0.127115970957072,NA,2.15384615384615,2.03571428571429,2.29268292682927,2.35849056603774,2.375,2.27631578947368,2.17647058823529,2.16071428571429,0,12,26,35,44,53,65,74,84,97,3505.56862892257,17656.0344050428,25.3914,141.633,0.431005679,"3","1",9,46
"SW89",-0.666691639196862,0.316962530512171,2.4,2.23809523809524,2.42424242424242,2.44897959183673,2.30645161290323,2.17948717948718,2.23076923076923,2.12745098039216,2.05511811023622,4,18,28,40,52,68,78,89,100,112,3037.721973876,14468.3591928875,104.206,141.027,-0.455638128,"3","1",13,27
"SW9",-0.291689602224988,0.0787232812619076,NA,3,1.93333333333333,1.52272727272727,1.60655737704918,1.63414634146341,1.66304347826087,1.66071428571429,1.65562913907285,0,2,14,43,58,77,87,107,123,143,12552.9427259844,36650.6238894101,120.709,130.943,0.050498813,"3","2",23,56
"SW90",-0.419183889772122,0.0631669803593909,1,2.05882352941176,2.20689655172414,2.3953488372093,2.43396226415094,2.34375,2.35616438356164,2.20454545454545,2.13888888888889,2,15,24,35,43,53,60,75,86,94,3688.4056031853,9715.08193706943,23.9392,140.952,0.558366421,"3","1",8,54
"W1",-0.220126199553044,0.102223723401972,2.5,2.31578947368421,2.47058823529412,2.58490566037736,2.45121951219512,2.38053097345133,2.45205479452055,2.50251256281407,2.47463768115942,2,18,33,49,74,104,133,179,212,251,4960.33388437796,18143.6714087798,272.683,92.9029,0.999187587,"5","3",13,51
"W10",-0.449084517357551,0.0903936121053502,2,2.5,2.94117647058824,2.66666666666667,2.49152542372881,2.33707865168539,2.29838709677419,2.28662420382166,2.25968992248062,1,2,14,36,56,84,116,147,183,240,5985.91416079132,17050.7595106287,295.234,89.9124,0.654244649,"5","3",17,55
"W100",-0.319728623734657,0.069706025480359,2,2.08333333333333,2.33333333333333,2.33333333333333,2.23076923076923,2.05,2.2,2.18987341772152,2.05405405405405,3,12,15,15,26,40,60,79,111,145,1572.60548075149,22035.8719660609,93.8364,69.0097,0.322810873,"5","3",32,59
"W101",-0.130869130869133,0.111448848748559,2,1.83333333333333,2.38461538461538,2.36363636363636,2.37037037037037,2.27777777777778,2.22058823529412,2.16470588235294,2.14569536423841,2,6,13,22,27,36,67,83,120,147,6709.82969211927,19337.8176355207,101.537,68.3173,0.052248809,"5","3",17,52
