Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,AFH4394,BLUTI,5,M,20/05/2019 08:15,WYT,SW45,,,,63,9.5,KMM,,,,,M,18.6,,,,,
N,AFH4813,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.4,KMM,,,,,,,,,,10,10
N,AFH4814,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.9,KMM,,,,,,,,,,10,10
N,AFH4815,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.5,KMM,,,,,,,,,,10,10
N,AFH4816,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.8,KMM,,,,,,,,,,10,10
N,AFH4817,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,9.8,KMM,,,,,,,,,,10,10
N,AFH4818,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,9.4,KMM,,,,,,,,,,10,10
N,AFH4819,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.2,KMM,,,,,,,,,,10,10
N,AFH4820,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.6,KMM,,,,,,,,,,10,10
N,AFH4821,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.1,KMM,,,,,,,,,,10,10
N,AFH4822,BLUTI,1,,24/05/2019 08:45,WYT,SW45,,,,,10.5,KMM,,,,,,,,,,10,10
O,Z101417,BLUTI,5,,15/05/2019 11:39,WYT,SW48,89,86,,,,KMM,,,,,,,,,,,
N,AFH4851,BLUTI,1,,25/05/2019 06:49,WYT,SW48,,,,,10.1,KMM,,,,,,,,,,7,7
N,AFH4852,BLUTI,1,,25/05/2019 06:49,WYT,SW48,,,,,12,KMM,,,,,,,,,,7,7
N,AFH4853,BLUTI,1,,25/05/2019 06:49,WYT,SW48,,,,,10.4,KMM,,,,,,,,,,7,7
